"compiled_studies","subjectID","group","optionA","optionB","quantityA","quantityB"
"structural","mouse3",1,"clip_plastictube","mouseswing",31.3585858585859,68.6414141414141
"structural","mouse3",1,"second_plane","mouseswing",73.7638888888889,26.2361111111111
"foraging","mouse3",1,"treatball","latticeball",59.3762626262626,40.6237373737374
"foraging","mouse3",1,"tube_stones","flappuzzle",57.0492424242424,42.9507575757576
"foraging","mouse3",1,"flappuzzle","treatball",52.459595959596,47.540404040404
"foraging","mouse3",1,"tube_stones","latticeball",41.6174242424242,58.3825757575758
"foraging","mouse3",1,"tube_stones","slidingpuzzle",42.6553030303031,57.3446969696969
"foraging","mouse3",1,"tube_stones","treatball",60.6843434343434,39.3156565656566
"foraging","mouse3",1,"latticeball","slidingpuzzle",29.4684343434343,70.5315656565657
"foraging","mouse3",1,"treatball","slidingpuzzle",41.5050505050505,58.4949494949495
"foraging","mouse3",1,"flappuzzle","slidingpuzzle",35.9431818181818,64.0568181818182
"foraging","mouse3",1,"latticeball","flappuzzle",79.1414141414141,20.8585858585859
"housing","mouse3",1,"floorhouse","woodenangle",60.7386363636364,39.2613636363636
"housing","mouse3",1,"woodenangle_with_hole","houseball",28.7462121212122,71.2537878787878
"housing","mouse3",1,"woodenangle_with_hole","woodenangle",62.5164141414141,37.4835858585859
"housing","mouse3",1,"woodenangle","paperhouse",60.7512626262627,39.2487373737373
"housing","mouse3",1,"paperhouse","floorhouse",41.9154040404041,58.0845959595959
"housing","mouse3",1,"floorhouse","woodenangle_with_hole",44.8914141414141,55.1085858585859
"housing","mouse3",1,"paperhouse","woodenangle_with_hole",46.3699494949495,53.6300505050505
"housing","mouse3",1,"houseball","floorhouse",57.6388888888889,42.3611111111111
"housing","mouse3",1,"woodenangle","houseball",48.6868686868687,51.3131313131313
"housing","mouse3",1,"houseball","paperhouse",57.0871212121212,42.9128787878788
"structural","mouse4",1,"rope","mouseswing",48.4621212121212,51.5378787878788
"structural","mouse4",1,"clip_papertube","rope",25.604797979798,74.395202020202
"structural","mouse4",1,"mouseswing","clip_papertube",52.8421717171717,47.1578282828283
"structural","mouse4",1,"clip_papertube","second_plane",26.854797979798,73.145202020202
"structural","mouse4",1,"second_plane","rope",42.0795454545455,57.9204545454545
"structural","mouse4",1,"clip_plastictube","rope",44.9532828282829,55.0467171717171
"structural","mouse4",1,"clip_plastictube","second_plane",42.4280303030303,57.5719696969697
"structural","mouse4",1,"clip_plastictube","clip_papertube",34.2853535353536,65.7146464646464
"structural","mouse4",1,"clip_plastictube","mouseswing",36.2474747474748,63.7525252525252
"structural","mouse4",1,"second_plane","mouseswing",67.1805555555555,32.8194444444445
"foraging","mouse4",1,"treatball","latticeball",45.385101010101,54.614898989899
"foraging","mouse4",1,"tube_stones","flappuzzle",56.4911616161616,43.5088383838384
"foraging","mouse4",1,"flappuzzle","treatball",58.060606060606,41.939393939394
"foraging","mouse4",1,"tube_stones","latticeball",31.209595959596,68.790404040404
"foraging","mouse4",1,"tube_stones","slidingpuzzle",47.6666666666667,52.3333333333333
"foraging","mouse4",1,"tube_stones","treatball",74.9040404040404,25.0959595959596
"foraging","mouse4",1,"latticeball","slidingpuzzle",52.0984848484848,47.9015151515152
"foraging","mouse4",1,"treatball","slidingpuzzle",46.7133838383838,53.2866161616162
"foraging","mouse4",1,"flappuzzle","slidingpuzzle",35.7007575757575,64.2992424242425
"foraging","mouse4",1,"latticeball","flappuzzle",83.6628787878788,16.3371212121212
"housing","mouse4",1,"floorhouse","woodenangle",69.4924242424242,30.5075757575758
"housing","mouse4",1,"woodenangle_with_hole","houseball",39.7676767676767,60.2323232323233
"housing","mouse4",1,"woodenangle_with_hole","woodenangle",29.1780303030303,70.8219696969697
"housing","mouse4",1,"woodenangle","paperhouse",62.0833333333333,37.9166666666667
"housing","mouse4",1,"paperhouse","floorhouse",39.1022727272727,60.8977272727273
"housing","mouse4",1,"floorhouse","woodenangle_with_hole",45.3825757575758,54.6174242424242
"housing","mouse4",1,"paperhouse","woodenangle_with_hole",34.6073232323233,65.3926767676767
"housing","mouse4",1,"houseball","floorhouse",49.6212121212122,50.3787878787878
"housing","mouse4",1,"woodenangle","houseball",38.2651515151515,61.7348484848485
"housing","mouse4",1,"houseball","paperhouse",50.4103535353535,49.5896464646465
"structural","mouse5",2,"rope","mouseswing",47.0934343434344,52.9065656565656
"structural","mouse5",2,"clip_papertube","rope",35.6073232323232,64.3926767676768
"structural","mouse5",2,"mouseswing","clip_papertube",64.9772727272727,35.0227272727273
"structural","mouse5",2,"clip_papertube","second_plane",40.405303030303,59.594696969697
"structural","mouse5",2,"second_plane","rope",34.7222222222222,65.2777777777778
"structural","mouse5",2,"clip_plastictube","rope",49.8623737373738,50.1376262626262
"structural","mouse5",2,"clip_plastictube","second_plane",54.3244949494949,45.6755050505051
"structural","mouse5",2,"clip_plastictube","clip_papertube",48.1010101010102,51.8989898989898
"structural","mouse5",2,"clip_plastictube","mouseswing",53.4974747474748,46.5025252525252
"structural","mouse5",2,"second_plane","mouseswing",49.0669191919192,50.9330808080808
"foraging","mouse5",2,"treatball","latticeball",35.9255050505051,64.0744949494949
"foraging","mouse5",2,"tube_stones","flappuzzle",37.1881313131314,62.8118686868686
"foraging","mouse5",2,"flappuzzle","treatball",74.8005050505051,25.1994949494949
"foraging","mouse5",2,"tube_stones","latticeball",13.1919191919192,86.8080808080808
"foraging","mouse5",2,"tube_stones","slidingpuzzle",47.7108585858586,52.2891414141414
"foraging","mouse5",2,"tube_stones","treatball",76.8055555555555,23.1944444444445
"foraging","mouse5",2,"latticeball","slidingpuzzle",69.9633838383838,30.0366161616162
"foraging","mouse5",2,"treatball","slidingpuzzle",69.9204545454545,30.0795454545455
"foraging","mouse5",2,"flappuzzle","slidingpuzzle",61.2992424242424,38.7007575757576
"foraging","mouse5",2,"latticeball","flappuzzle",48.7247474747475,51.2752525252525
"housing","mouse5",2,"floorhouse","woodenangle",49.834595959596,50.165404040404
"housing","mouse5",2,"woodenangle_with_hole","houseball",49.3699494949495,50.6300505050505
"housing","mouse5",2,"woodenangle_with_hole","woodenangle",47.7234215000501,52.2765784999499
"housing","mouse5",2,"woodenangle","paperhouse",16.3934404760992,83.6065595239008
"housing","mouse5",2,"paperhouse","floorhouse",44.2222222222222,55.7777777777778
"housing","mouse5",2,"floorhouse","woodenangle_with_hole",44.9419191919192,55.0580808080808
"housing","mouse5",2,"paperhouse","woodenangle_with_hole",68.8989898989899,31.1010101010101
"housing","mouse5",2,"houseball","floorhouse",58.3598484848485,41.6401515151515
