"compiled_studies","subjectID","group","optionA","optionB","quantityA","quantityB"
"structural","mouse3",1,"clip_plastictube","mouseswing",55.9479166666667,44.0520833333333
"structural","mouse3",1,"second_plane","mouseswing",62.4004629629629,37.5995370370371
"foraging","mouse3",1,"treatball","latticeball",68.7002314814815,31.2997685185185
"foraging","mouse3",1,"tube_stones","flappuzzle",57.7847222222222,42.2152777777778
"foraging","mouse3",1,"flappuzzle","treatball",66.4351851851852,33.5648148148148
"foraging","mouse3",1,"tube_stones","latticeball",33.6712962962963,66.3287037037037
"foraging","mouse3",1,"tube_stones","slidingpuzzle",68.474537037037,31.525462962963
"foraging","mouse3",1,"tube_stones","treatball",61.2349537037037,38.7650462962963
"foraging","mouse3",1,"latticeball","slidingpuzzle",74.2731481481482,25.7268518518518
"foraging","mouse3",1,"treatball","slidingpuzzle",51.1736111111111,48.8263888888889
"foraging","mouse3",1,"flappuzzle","slidingpuzzle",69.53125,30.46875
"foraging","mouse3",1,"latticeball","flappuzzle",63.1319444444444,36.8680555555556
"housing","mouse3",1,"floorhouse","woodenangle",54.6851851851852,45.3148148148148
"housing","mouse3",1,"woodenangle_with_hole","houseball",47.4583333333333,52.5416666666667
"housing","mouse3",1,"woodenangle_with_hole","woodenangle",33.5590277777777,66.4409722222223
"housing","mouse3",1,"woodenangle","paperhouse",65.9166666666667,34.0833333333333
"housing","mouse3",1,"paperhouse","floorhouse",39.3888888888889,60.6111111111111
"housing","mouse3",1,"floorhouse","woodenangle_with_hole",24.8298611111111,75.1701388888889
"housing","mouse3",1,"paperhouse","woodenangle_with_hole",60.1157407407407,39.8842592592593
"housing","mouse3",1,"houseball","floorhouse",30.8888888888889,69.1111111111111
"housing","mouse3",1,"woodenangle","houseball",55.4930555555556,44.5069444444444
"housing","mouse3",1,"houseball","paperhouse",40.4224537037037,59.5775462962963
"structural","mouse4",1,"rope","mouseswing",34.9768518518518,65.0231481481482
"structural","mouse4",1,"clip_papertube","rope",39.9641203703704,60.0358796296296
"structural","mouse4",1,"mouseswing","clip_papertube",47.2245370370371,52.7754629629629
"structural","mouse4",1,"clip_papertube","second_plane",46.0601851851852,53.9398148148148
"structural","mouse4",1,"second_plane","rope",26.8518518518518,73.1481481481482
"structural","mouse4",1,"clip_plastictube","rope",41.0706018518519,58.9293981481481
"structural","mouse4",1,"clip_plastictube","second_plane",42.9317129629629,57.0682870370371
"structural","mouse4",1,"clip_plastictube","clip_papertube",45.4872487420219,54.5127512579781
"structural","mouse4",1,"clip_plastictube","mouseswing",44.03125,55.96875
"structural","mouse4",1,"second_plane","mouseswing",61.5821759259259,38.4178240740741
"foraging","mouse4",1,"treatball","latticeball",66.1469907407407,33.8530092592593
"foraging","mouse4",1,"tube_stones","flappuzzle",55.4699074074074,44.5300925925926
"foraging","mouse4",1,"flappuzzle","treatball",59.1423611111111,40.8576388888889
"foraging","mouse4",1,"tube_stones","latticeball",30.3125,69.6875
"foraging","mouse4",1,"tube_stones","slidingpuzzle",74.8680555555555,25.1319444444445
"foraging","mouse4",1,"tube_stones","treatball",71.3622685185185,28.6377314814815
"foraging","mouse4",1,"latticeball","slidingpuzzle",76.3275462962963,23.6724537037037
"foraging","mouse4",1,"treatball","slidingpuzzle",38.0069444444444,61.9930555555556
"foraging","mouse4",1,"flappuzzle","slidingpuzzle",59.8287037037037,40.1712962962963
"foraging","mouse4",1,"latticeball","flappuzzle",60.9849537037037,39.0150462962963
"housing","mouse4",1,"floorhouse","woodenangle",62.9363425925926,37.0636574074074
"housing","mouse4",1,"woodenangle_with_hole","houseball",40.7858796296296,59.2141203703704
"housing","mouse4",1,"woodenangle_with_hole","woodenangle",50.136574074074,49.863425925926
"housing","mouse4",1,"woodenangle","paperhouse",59.90625,40.09375
"housing","mouse4",1,"paperhouse","floorhouse",40.65625,59.34375
"housing","mouse4",1,"floorhouse","woodenangle_with_hole",22.6226851851852,77.3773148148148
"housing","mouse4",1,"paperhouse","woodenangle_with_hole",63.9930555555556,36.0069444444444
"housing","mouse4",1,"houseball","floorhouse",36.5810185185185,63.4189814814815
"housing","mouse4",1,"woodenangle","houseball",50.0057870370371,49.9942129629629
"housing","mouse4",1,"houseball","paperhouse",42.8703703703704,57.1296296296296
"structural","mouse5",2,"rope","mouseswing",47.8263888888889,52.1736111111111
"structural","mouse5",2,"clip_papertube","rope",63.2372685185185,36.7627314814815
"structural","mouse5",2,"mouseswing","clip_papertube",49.212962962963,50.787037037037
"structural","mouse5",2,"clip_papertube","second_plane",57.5393518518518,42.4606481481482
"structural","mouse5",2,"second_plane","rope",47.6597222222222,52.3402777777778
"structural","mouse5",2,"clip_plastictube","rope",52.0219907407407,47.9780092592593
"structural","mouse5",2,"clip_plastictube","second_plane",61.1504629629629,38.8495370370371
"structural","mouse5",2,"clip_plastictube","clip_papertube",43.5393518518518,56.4606481481482
"structural","mouse5",2,"clip_plastictube","mouseswing",52.6354166666667,47.3645833333333
"structural","mouse5",2,"second_plane","mouseswing",73.6840277777778,26.3159722222222
"foraging","mouse5",2,"treatball","latticeball",39.4525462962963,60.5474537037037
"foraging","mouse5",2,"tube_stones","flappuzzle",60.7650462962963,39.2349537037037
"foraging","mouse5",2,"flappuzzle","treatball",57.2650462962962,42.7349537037038
"foraging","mouse5",2,"tube_stones","latticeball",15.3587962962963,84.6412037037037
"foraging","mouse5",2,"tube_stones","slidingpuzzle",53.0868055555556,46.9131944444444
"foraging","mouse5",2,"tube_stones","treatball",82.4432870370371,17.5567129629629
"foraging","mouse5",2,"latticeball","slidingpuzzle",71.2592592592593,28.7407407407407
"foraging","mouse5",2,"treatball","slidingpuzzle",45.7233796296296,54.2766203703704
"foraging","mouse5",2,"flappuzzle","slidingpuzzle",75.7268518518518,24.2731481481482
"foraging","mouse5",2,"latticeball","flappuzzle",37.3078703703704,62.6921296296296
"housing","mouse5",2,"floorhouse","woodenangle",75.2581018518518,24.7418981481482
"housing","mouse5",2,"woodenangle_with_hole","houseball",47.9409722222222,52.0590277777778
"housing","mouse5",2,"woodenangle_with_hole","woodenangle",53.5612803040838,46.4387196959162
"housing","mouse5",2,"woodenangle","paperhouse",21.1550925925926,78.8449074074074
"housing","mouse5",2,"paperhouse","floorhouse",53.8958333333333,46.1041666666667
"housing","mouse5",2,"floorhouse","woodenangle_with_hole",62.7346460969349,37.2653539030651
"housing","mouse5",2,"paperhouse","woodenangle_with_hole",57.3067129629629,42.6932870370371
"housing","mouse5",2,"houseball","floorhouse",51.8113425925926,48.1886574074074
"housing","mouse5",2,"woodenangle","houseball",56.6527777777778,43.3472222222222
"housing","mouse5",2,"houseball","paperhouse",47.3738425925926,52.6261574074074
"structural","mouse6",2,"rope","mouseswing",47.1180455862225,52.8819544137775
"structural","mouse6",2,"clip_papertube","rope",57.6608796296296,42.3391203703704
"structural","mouse6",2,"mouseswing","clip_papertube",51.1053240740741,48.8946759259259
"structural","mouse6",2,"clip_papertube","second_plane",53.0231481481482,46.9768518518518
"structural","mouse6",2,"second_plane","rope",46.2951388888889,53.7048611111111
"structural","mouse6",2,"clip_plastictube","rope",50.4479166666667,49.5520833333333
"structural","mouse6",2,"clip_plastictube","second_plane",63.5046296296296,36.4953703703704
"structural","mouse6",2,"clip_plastictube","clip_papertube",37.4247685185185,62.5752314814815
"structural","mouse6",2,"clip_plastictube","mouseswing",44.400462962963,55.599537037037
"structural","mouse6",2,"second_plane","mouseswing",78.9525462962963,21.0474537037037
"foraging","mouse6",2,"treatball","latticeball",38.9918981481482,61.0081018518518
"foraging","mouse6",2,"tube_stones","flappuzzle",62.7962962962963,37.2037037037037
"foraging","mouse6",2,"flappuzzle","treatball",48.1064814814815,51.8935185185185
"foraging","mouse6",2,"tube_stones","latticeball",21.2824074074074,78.7175925925926
"foraging","mouse6",2,"tube_stones","slidingpuzzle",54.980324074074,45.019675925926
"foraging","mouse6",2,"tube_stones","treatball",77.0671296296296,22.9328703703704
"foraging","mouse6",2,"latticeball","slidingpuzzle",63.6678240740741,36.3321759259259
"foraging","mouse6",2,"treatball","slidingpuzzle",46.1504629629629,53.8495370370371
"foraging","mouse6",2,"flappuzzle","slidingpuzzle",73.5208333333333,26.4791666666667
"foraging","mouse6",2,"latticeball","flappuzzle",41.425925925926,58.574074074074
"housing","mouse6",2,"floorhouse","woodenangle",73.4594907407407,26.5405092592593
"housing","mouse6",2,"woodenangle_with_hole","houseball",47.130787037037,52.869212962963
"housing","mouse6",2,"woodenangle_with_hole","woodenangle",64.2094907407407,35.7905092592593
"housing","mouse6",2,"woodenangle","paperhouse",18.7939814814815,81.2060185185185
"housing","mouse6",2,"paperhouse","floorhouse",56.636574074074,43.363425925926
"housing","mouse6",2,"floorhouse","woodenangle_with_hole",58.9074074074074,41.0925925925926
"housing","mouse6",2,"paperhouse","woodenangle_with_hole",74.2708333333333,25.7291666666667
"housing","mouse6",2,"houseball","floorhouse",53.9236111111111,46.0763888888889
"housing","mouse6",2,"woodenangle","houseball",50.1238425925926,49.8761574074074
"housing","mouse6",2,"houseball","paperhouse",34.5196759259259,65.4803240740741
"structural","mouse7",2,"rope","mouseswing",50.8946759259259,49.1053240740741
"structural","mouse7",2,"clip_papertube","rope",52.5821759259259,47.4178240740741
"structural","mouse7",2,"mouseswing","clip_papertube",54.9872685185185,45.0127314814815
"structural","mouse7",2,"clip_papertube","second_plane",48.7974537037037,51.2025462962963
"structural","mouse7",2,"second_plane","rope",55.5185185185185,44.4814814814815
"structural","mouse7",2,"clip_plastictube","rope",39.8379629629629,60.1620370370371
"structural","mouse7",2,"clip_plastictube","second_plane",59.9383071376128,40.0616928623872
"structural","mouse7",2,"clip_plastictube","clip_papertube",46.5162037037037,53.4837962962963
"structural","mouse7",2,"clip_plastictube","mouseswing",53.0023148148148,46.9976851851852
"structural","mouse7",2,"second_plane","mouseswing",81.9513888888889,18.0486111111111
"foraging","mouse7",2,"treatball","latticeball",39.3645833333333,60.6354166666667
"foraging","mouse7",2,"tube_stones","flappuzzle",74.0717592592593,25.9282407407407
"foraging","mouse7",2,"flappuzzle","treatball",51.7106481481482,48.2893518518518
"foraging","mouse7",2,"tube_stones","latticeball",19.2268518518518,80.7731481481482
"foraging","mouse7",2,"tube_stones","slidingpuzzle",46.8333333333333,53.1666666666667
"foraging","mouse7",2,"tube_stones","treatball",76.832175925926,23.167824074074
"foraging","mouse7",2,"latticeball","slidingpuzzle",75.5289351851851,24.4710648148149
"foraging","mouse7",2,"treatball","slidingpuzzle",44.2546296296296,55.7453703703704
"foraging","mouse7",2,"flappuzzle","slidingpuzzle",72.0810185185185,27.9189814814815
"foraging","mouse7",2,"latticeball","flappuzzle",49.4907407407407,50.5092592592593
"housing","mouse7",2,"floorhouse","woodenangle",75.5416666666667,24.4583333333333
"housing","mouse7",2,"woodenangle_with_hole","houseball",51.5914351851852,48.4085648148148
"housing","mouse7",2,"woodenangle_with_hole","woodenangle",51.0405092592593,48.9594907407407
"housing","mouse7",2,"woodenangle","paperhouse",27.6712962962963,72.3287037037037
"housing","mouse7",2,"paperhouse","floorhouse",57.4328703703704,42.5671296296296
"housing","mouse7",2,"floorhouse","woodenangle_with_hole",47.0150462962963,52.9849537037037
"housing","mouse7",2,"paperhouse","woodenangle_with_hole",71.900462962963,28.099537037037
"housing","mouse7",2,"houseball","floorhouse",45.6469907407407,54.3530092592593
"housing","mouse7",2,"woodenangle","houseball",51.8969907407407,48.1030092592593
"housing","mouse7",2,"houseball","paperhouse",32.4363425925926,67.5636574074074
"structural","mouse8",2,"rope","mouseswing",50.53125,49.46875
"structural","mouse8",2,"clip_papertube","rope",62.8310185185185,37.1689814814815
"structural","mouse8",2,"mouseswing","clip_papertube",48.0208333333333,51.9791666666667
"structural","mouse8",2,"clip_papertube","second_plane",56.4282407407407,43.5717592592593
"structural","mouse8",2,"second_plane","rope",50.9467592592593,49.0532407407407
"structural","mouse8",2,"clip_plastictube","rope",44.1655092592593,55.8344907407407
"structural","mouse8",2,"clip_plastictube","second_plane",65.34375,34.65625
"structural","mouse8",2,"clip_plastictube","clip_papertube",46.8428260787533,53.1571739212467
"structural","mouse8",2,"clip_plastictube","mouseswing",64.0497685185185,35.9502314814815
"structural","mouse8",2,"second_plane","mouseswing",71.2951388888889,28.7048611111111
"foraging","mouse8",2,"treatball","latticeball",37.6527777777778,62.3472222222222
"foraging","mouse8",2,"tube_stones","flappuzzle",60.8935185185185,39.1064814814815
"foraging","mouse8",2,"flappuzzle","treatball",52.9479166666667,47.0520833333333
"foraging","mouse8",2,"tube_stones","latticeball",15.7268518518518,84.2731481481482
"foraging","mouse8",2,"tube_stones","slidingpuzzle",50.8784722222222,49.1215277777778
"foraging","mouse8",2,"tube_stones","treatball",75.6655092592593,24.3344907407407
"foraging","mouse8",2,"latticeball","slidingpuzzle",76.412037037037,23.587962962963
"foraging","mouse8",2,"treatball","slidingpuzzle",45.9699074074074,54.0300925925926
"foraging","mouse8",2,"flappuzzle","slidingpuzzle",75.3067129629629,24.6932870370371
"foraging","mouse8",2,"latticeball","flappuzzle",41.4537037037037,58.5462962962963
"housing","mouse8",2,"floorhouse","woodenangle",67.5509259259259,32.4490740740741
"housing","mouse8",2,"woodenangle_with_hole","houseball",49.4143518518519,50.5856481481481
"housing","mouse8",2,"woodenangle_with_hole","woodenangle",60.9884259259259,39.0115740740741
"housing","mouse8",2,"woodenangle","paperhouse",13.0300925925926,86.9699074074074
"housing","mouse8",2,"paperhouse","floorhouse",56.4618055555556,43.5381944444444
"housing","mouse8",2,"floorhouse","woodenangle_with_hole",67.1666666666667,32.8333333333333
"housing","mouse8",2,"paperhouse","woodenangle_with_hole",79.2349537037037,20.7650462962963
"housing","mouse8",2,"houseball","floorhouse",48.3854166666667,51.6145833333333
"housing","mouse8",2,"woodenangle","houseball",58.7210648148148,41.2789351851852
"housing","mouse8",2,"houseball","paperhouse",34.9189814814815,65.0810185185185
"structural","mouse9",3,"rope","mouseswing",36.4652777777777,63.5347222222223
"structural","mouse9",3,"clip_papertube","rope",52.3043981481482,47.6956018518518
"structural","mouse9",3,"mouseswing","clip_papertube",14.5277777777778,85.4722222222222
"structural","mouse9",3,"clip_papertube","second_plane",45.3842592592592,54.6157407407408
"structural","mouse9",3,"second_plane","rope",62.5023148148148,37.4976851851852
"structural","mouse9",3,"clip_plastictube","rope",51.3217592592593,48.6782407407407
"structural","mouse9",3,"clip_plastictube","second_plane",40.3854166666667,59.6145833333333
"structural","mouse9",3,"clip_plastictube","clip_papertube",76.4305555555556,23.5694444444444
"structural","mouse9",3,"clip_plastictube","mouseswing",76.3136574074074,23.6863425925926
"structural","mouse9",3,"second_plane","mouseswing",31.5949074074074,68.4050925925926
"foraging","mouse9",3,"treatball","latticeball",20.2638888888889,79.7361111111111
"foraging","mouse9",3,"tube_stones","flappuzzle",24.3136574074074,75.6863425925926
"foraging","mouse9",3,"flappuzzle","treatball",29.4189814814815,70.5810185185185
"foraging","mouse9",3,"tube_stones","latticeball",41.4201388888889,58.5798611111111
"foraging","mouse9",3,"tube_stones","slidingpuzzle",34.5231481481482,65.4768518518518
"foraging","mouse9",3,"tube_stones","treatball",53.8402777777778,46.1597222222222
"foraging","mouse9",3,"latticeball","slidingpuzzle",71.6053240740741,28.3946759259259
"foraging","mouse9",3,"treatball","slidingpuzzle",59.2118055555556,40.7881944444444
"foraging","mouse9",3,"flappuzzle","slidingpuzzle",58.1180555555556,41.8819444444444
"foraging","mouse9",3,"latticeball","flappuzzle",64.2986111111111,35.7013888888889
"housing","mouse9",3,"floorhouse","woodenangle",56.4710648148149,43.5289351851851
"housing","mouse9",3,"woodenangle_with_hole","houseball",52.650462962963,47.349537037037
"housing","mouse9",3,"woodenangle_with_hole","woodenangle",41.1469907407407,58.8530092592593
"housing","mouse9",3,"woodenangle","paperhouse",67.2418981481482,32.7581018518518
"housing","mouse9",3,"paperhouse","floorhouse",50.0358796296296,49.9641203703704
"housing","mouse9",3,"floorhouse","woodenangle_with_hole",24.4780092592593,75.5219907407407
"housing","mouse9",3,"paperhouse","woodenangle_with_hole",60.8715277777778,39.1284722222222
"housing","mouse9",3,"houseball","floorhouse",19.3125,80.6875
"housing","mouse9",3,"woodenangle","houseball",65.2465277777777,34.7534722222223
"housing","mouse9",3,"houseball","paperhouse",50.4942129629629,49.5057870370371
"structural","mouse10",3,"rope","mouseswing",37.1238425925926,62.8761574074074
"structural","mouse10",3,"clip_papertube","rope",49.4930555555556,50.5069444444444
"structural","mouse10",3,"mouseswing","clip_papertube",18.3043981481482,81.6956018518518
"structural","mouse10",3,"clip_papertube","second_plane",46.230324074074,53.769675925926
"structural","mouse10",3,"second_plane","rope",54.0532407407407,45.9467592592593
"structural","mouse10",3,"clip_plastictube","rope",53.9074074074074,46.0925925925926
"structural","mouse10",3,"clip_plastictube","second_plane",43.3009259259259,56.6990740740741
"structural","mouse10",3,"clip_plastictube","clip_papertube",65.5879629629629,34.4120370370371
"structural","mouse10",3,"clip_plastictube","mouseswing",65.5891203703704,34.4108796296296
"structural","mouse10",3,"second_plane","mouseswing",35.4016203703704,64.5983796296296
"foraging","mouse10",3,"treatball","latticeball",20.1921296296296,79.8078703703704
"foraging","mouse10",3,"tube_stones","flappuzzle",28.7395833333333,71.2604166666667
"foraging","mouse10",3,"flappuzzle","treatball",26.9675925925926,73.0324074074074
"foraging","mouse10",3,"tube_stones","latticeball",37.5775462962963,62.4224537037037
"foraging","mouse10",3,"tube_stones","slidingpuzzle",29.1944444444444,70.8055555555556
"foraging","mouse10",3,"tube_stones","treatball",47.9733796296296,52.0266203703704
